sentence,topic,speaker,is_host,source_title,date,quote_type,public_use_suitable
"And a lot of fast growing brands, they reach a pain point, they need to go and fix it","Retail buyer readiness, category fit, and expectations",Sebastiaan Debrouwe,False,"#251 - Scaling the Brand: Ops, Systems, and Simplicity with Mezcla and Doss",2026-06-02T07:00:00.000Z,pain_language,requires_verification
"It's been an expensive mistake, right","Retail buyer readiness, category fit, and expectations",Sebastiaan Debrouwe,False,"#251 - Scaling the Brand: Ops, Systems, and Simplicity with Mezcla and Doss",2026-06-02T07:00:00.000Z,pain_language,requires_verification
"Like a known thing that people have already experienced and they like it, but there's X problem wit","Wholesale expansion, buyer relationships, and in-store growth",Luba Safran,False,Investor Spotlight: Luba Safran of Mondelēz SnackFutures Ventures — How Corporate Venture Capital Works and What It Means for CPG Founders,2026-05-23T07:00:00.000Z,pain_language,requires_verification
"So during that period of time, early 2022, really through the end of that year, I did some consulting, helping some smaller brands gain distribution, innovate new products, work on operational challenges","Co-manufacturer selection, scale-up, process control, and IP",Lindsay Hancock,False,Founder Feature: Lindsay Hancock of My Better Batch,2024-11-29T08:00:00.000Z,pain_language,requires_verification
I didn't want to deal with the logistical challenges of shipping temperature control,"Wholesale expansion, buyer relationships, and in-store growth",Lindsay Hancock,False,Founder Feature: Lindsay Hancock of My Better Batch,2024-11-29T08:00:00.000Z,pain_language,requires_verification
There are some things that I just can't protect against if people make mistakes,"Co-manufacturer selection, scale-up, process control, and IP",Lindsay Hancock,False,Founder Feature: Lindsay Hancock of My Better Batch,2024-11-29T08:00:00.000Z,pain_language,requires_verification
And so one of the challenges that I didn't quite think through in the beginning was we're at the mercy of the formal category review calendars,Retailer and distributor onboarding and category management,Lindsay Hancock,False,Founder Feature: Lindsay Hancock of My Better Batch,2024-11-29T08:00:00.000Z,pain_language,requires_verification
"I really working hard to be able to build up our social media platforms, which ironically we started before we launched the product","Wholesale expansion, buyer relationships, and in-store growth",Lindsay Hancock,False,Founder Feature: Lindsay Hancock of My Better Batch,2024-11-29T08:00:00.000Z,pain_language,requires_verification
They're with the ones communicating with your brokers,Regional retail expansion and local-to-national growth,Peggy Shell,False,"#135 Recruiting 101 with Peggy Shell, Creative Alignments",2024-03-26T07:00:00.000Z,pain_language,requires_verification
Is it going to be too expensive to acquire people versus how much it costs to ship it and the low price point of the product,"Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#245 - Growing Your Brand with Influencer Marketing with Joybyte,2026-04-21T07:00:00.000Z,pain_language,requires_verification
"Yeah, I mean, it's hard to not say everyone","Retail buyer readiness, category fit, and expectations",Jenn Ko,False,Founder Feature: Jenn Ko of DIME,2025-07-11T07:00:00.000Z,pain_language,requires_verification
So there was a lot of just struggles that existed,"Wholesale expansion, buyer relationships, and in-store growth",Semeet Shah,False,"Investor Spotlight: Sumeet Shah, VHS Ventures",2026-03-14T07:00:00.000Z,pain_language,requires_verification
"Because a lot of people talk about it and then they were saying that, you know, a lot of people's mistakes, especially when they're small brands and they get into a unifi or keiki, like you're working with a national distributor and you need to have that national money, right",Retailer and distributor onboarding and category management,Cynthia Duran,False,Founder Feature: Cynthia Duran of Xinca Foods,2025-05-16T07:00:00.000Z,pain_language,requires_verification
"So, yeah, it's such a common problem, and it's so challenging because it's so expensive to put in such a large order","Retail buyer readiness, category fit, and expectations",Grace Kennedy,False,Founder Feature: Jilleo Recio of RĒJINS,2024-10-18T07:00:00.000Z,pain_language,requires_verification
"And like we kind of tried to preempt that a little bit by telling people, first of all, if you get your product and it's too crumbly, like you can send it back or keep it and get a refund, no problem","Retail buyer readiness, category fit, and expectations",Taylor Espinoza,False,Founder Feature:  Taylor Espinoza of Unicorn Bites,2026-01-16T08:00:00.000Z,pain_language,requires_verification
"I mean, and that's always comforting to see other people dealing with the same challenges","Retail buyer readiness, category fit, and expectations",Taylor Espinoza,False,Founder Feature:  Taylor Espinoza of Unicorn Bites,2026-01-16T08:00:00.000Z,pain_language,requires_verification
"And it's been difficult sometimes because I've had advisors who are like, you have to take risks early on and say no sugar or something, or blasts like gluten free on the front of the package","Co-manufacturer selection, scale-up, process control, and IP",Taylor Espinoza,False,Founder Feature:  Taylor Espinoza of Unicorn Bites,2026-01-16T08:00:00.000Z,pain_language,requires_verification
"And honestly, how cool is that to just as an early brand, get to be in some of those hard to reach places getting access to very highly educated, highly motivated consumers who care so much about where they're getting these products from","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#184 -Distributor Spotlight: Karen Slusher of Azure Standard,2025-02-25T08:00:00.000Z,pain_language,requires_verification
The back and forth on the purchase agreement is way less painful than answering hundreds of diligence questions over the course of a month,"Co-manufacturer and distributor contracts, liability, and operational risk",Adam Marsh,False,#238 - Legal Ask-Me-Anything with Giannuzzi Lewendon,2026-03-03T08:00:00.000Z,pain_language,requires_verification
